CUST_CODE,Churn_Risk_Probability,Holiday_Monetary,Pre_Monetary,Holiday_Frequency
CUST0000330990,0.9999916640206707,1274.82,2862.42,77
CUST0000369592,0.999959784064433,917.11,1521.26,11
CUST0000168127,0.9999496086889488,956.65,1886.75,19
CUST0000735612,0.9999391912350631,773.0,700.4499999999999,18
CUST0000396614,0.9999192452289561,981.15,2072.5099999999998,53
CUST0000555627,0.9999017967529871,2052.98,9854.65,33
CUST0000242962,0.9998608048573261,642.9100000000001,92.38,49
CUST0000800768,0.9998402813233179,651.07,328.56,25
CUST0000009278,0.99982294977869,810.75,1517.79,9
CUST0000768917,0.9998124569532956,691.15,659.56,19
CUST0000532729,0.9997912630005255,626.61,274.24,27
CUST0000818785,0.9997577855216656,769.36,1144.79,42
CUST0000804792,0.9997342919066116,579.55,79.55,16
CUST0000429489,0.999663348194638,668.89,757.73,15
CUST0000973582,0.9996576462928596,593.1,358.27,13
CUST0000046645,0.9996467748235479,569.1999999999999,101.63,19
CUST0000982136,0.9996233303317741,601.39,381.26,11
CUST0000351235,0.9996146532936242,977.26,3011.31,9
CUST0000987511,0.9996112745453123,607.56,413.39,9
CUST0000499866,0.999607228424539,583.0,191.53,31
CUST0000277197,0.9995800846795793,694.6800000000001,1029.62,36
CUST0000698395,0.9995682492309772,809.42,1899.18,18
CUST0000147538,0.9995626812592555,956.27,2930.7400000000002,15
CUST0000620533,0.9995575335641003,556.4300000000001,127.57000000000001,38
CUST0000216288,0.9995489967206512,573.3100000000001,310.97999999999996,29
CUST0000597921,0.9995405343353806,1017.6899999999999,2998.33,57
CUST0000716866,0.9995388906555843,627.9,682.48,15
CUST0000823247,0.9995321013911851,582.81,244.53,50
CUST0000746625,0.9995262487615931,603.13,193.78,89
CUST0000988987,0.9995179739315682,581.14,373.29,6
CUST0000894710,0.9995090629907901,644.0899999999999,647.16,41
CUST0000424589,0.9994787712581242,569.43,257.11,40
CUST0000048955,0.9994653219955316,772.62,1698.24,25
CUST0000864441,0.9994554636771025,620.23,710.41,17
CUST0000024505,0.9994407743762013,850.79,1840.18,82
CUST0000178671,0.9994398565519759,838.94,2051.2999999999997,45
CUST0000206452,0.9994314750637041,537.83,150.94,8
CUST0000624359,0.9994192247846119,550.01,151.07,29
CUST0000577756,0.9993350138836115,688.27,1122.04,32
CUST0000132112,0.9993325842233653,576.3,512.98,20
CUST0000462982,0.9993264836635818,644.87,965.76,8
CUST0000409581,0.9993155036049856,602.89,706.18,19
CUST0000789898,0.9993092218650123,570.28,480.96,25
CUST0000856409,0.9992873429017664,746.97,1640.1200000000001,35
CUST0000877331,0.9992730041664113,667.91,1118.05,31
CUST0000780360,0.9992619494082955,491.39,0.0,13
CUST0000709524,0.9992399946251975,550.45,368.36,12
CUST0000403527,0.9992345428421691,527.75,215.62,18
CUST0000341941,0.999195539115288,562.05,484.7,7
CUST0000872698,0.9991323970462889,762.6,1950.08,7
CUST0000823292,0.9991314345816098,534.47,302.48,8
CUST0000218835,0.9991296360595848,581.9,586.66,41
CUST0000970835,0.9991273369836552,486.85999999999996,119.81,7
CUST0000139387,0.9991213776435336,899.19,2606.69,69
CUST0000596770,0.9991041712612766,494.07,0.0,31
CUST0000287048,0.9990667585110237,585.68,694.77,9
CUST0000525634,0.9990660261103456,508.85,25.08,47
CUST0000479521,0.999058656358188,495.33,184.01000000000002,16
CUST0000483963,0.9990434003450157,493.1,59.03,32
CUST0000765926,0.9990413723251993,627.48,898.98,45
CUST0000363993,0.9990358439224831,480.04,0.0,19
CUST0000314842,0.9990243448701092,515.54,230.78,9
CUST0000940361,0.9989977899521101,645.47,1120.34,19
CUST0000065801,0.9989709208121158,565.91,614.7099999999999,22
CUST0000908967,0.9989632459303235,565.24,674.38,11
CUST0000711660,0.9989316783335879,867.3299999999999,2788.49,9
CUST0000309981,0.9989250420812656,746.49,1933.09,12
CUST0000998300,0.9989121090600054,602.99,710.11,50
CUST0000400718,0.9988909751586614,588.6,546.91,45
CUST0000552281,0.9988749175123307,721.8299999999999,1814.53,13
CUST0000471275,0.9987577673481571,503.5,278.91,8
CUST0000637119,0.9987331365185061,454.82,0.0,16
CUST0000810075,0.9987324246059122,696.39,1676.18,10
CUST0000950574,0.9987324156865055,736.64,1701.63,46
CUST0000284210,0.9987252256881803,583.94,703.72,44
CUST0000278214,0.9986980509325047,443.46000000000004,0.0,15
CUST0000363592,0.9986791979176007,577.28,767.14,14
CUST0000160971,0.9986686534326998,475.34000000000003,105.82,11
CUST0000449747,0.9986669823155822,464.5,134.65,16
CUST0000184283,0.9986460081500136,466.91,127.32,13
CUST0000428697,0.9986050084545938,819.55,2612.79,12
CUST0000355645,0.9985799775241049,577.05,861.49,23
CUST0000761854,0.9985584263517991,753.52,2106.34,20
CUST0000725365,0.9985384100976676,477.48,252.46,12
CUST0000526494,0.9985317178328021,508.65999999999997,395.0,34
CUST0000573137,0.99852071643959,587.09,941.95,17
CUST0000618992,0.9985095145627387,563.66,807.13,14
CUST0000630510,0.9984912462536464,584.78,976.1,11
CUST0000319428,0.9984828579789362,452.75,48.45,9
CUST0000488470,0.9984678878969743,618.86,1253.41,12
CUST0000727569,0.9984677424552614,507.65,436.88,7
CUST0000584886,0.9984622342731349,650.96,1302.5,40
CUST0000432496,0.9984376398664857,477.03000000000003,231.04999999999998,16
CUST0000695378,0.9984082588125587,548.53,640.33,43
CUST0000255543,0.9983952707899922,463.0,120.36000000000001,6
CUST0000807514,0.9983205979682366,463.15999999999997,88.94,34
CUST0000215436,0.9983010427577952,471.41999999999996,222.52,13
CUST0000831998,0.998285706836135,546.4,732.78,10
CUST0000783683,0.998280822137294,1096.98,4506.97,33
CUST0000001413,0.9982294008490662,431.53,0.0,22
CUST0000437097,0.9982059299540824,568.26,845.4,14
CUST0000862530,0.9981853853469151,477.3,301.75,14
CUST0000125637,0.9981832049489651,524.99,625.53,17
CUST0000482474,0.9981779544991789,472.41999999999996,196.60000000000002,42
CUST0000013417,0.9981741535928448,430.13,1.29,27
CUST0000857527,0.9981616640276202,463.69,260.3,9
CUST0000417460,0.9981588079209209,646.04,1516.12,8
CUST0000461062,0.9981558659568088,502.01,568.6700000000001,11
CUST0000781753,0.9981516753188014,483.09,341.83,11
CUST0000170181,0.9981220839483463,440.33,73.07,16
CUST0000454943,0.9981217478234929,497.07,491.04,9
CUST0000187097,0.9980271251672976,454.1,159.86,24
CUST0000967803,0.9980211845051954,438.02,114.80000000000001,10
CUST0000029590,0.997984405432136,557.54,814.81,44
CUST0000606039,0.9979835349913198,424.28999999999996,33.67,24
CUST0000589486,0.9979423751613766,419.76,0.0,9
CUST0000283918,0.9979413475189828,462.27,256.15,27
CUST0000648058,0.9979239702390545,473.55,345.78,10
CUST0000821240,0.9979154950997918,431.89,83.60999999999999,17
CUST0000574746,0.9979111114436211,478.61,277.09999999999997,36
CUST0000185552,0.9978577708466159,551.24,806.0799999999999,31
CUST0000082379,0.9978534172139989,431.67999999999995,93.4,9
CUST0000381343,0.9978284608131798,906.29,3326.14,17
CUST0000128658,0.9977972382377178,443.14,181.79,11
CUST0000764506,0.9977957081367355,420.47999999999996,0.0,6
CUST0000805433,0.9977724656941908,466.93,384.75,13
CUST0000903655,0.997756311266151,494.13,577.03,9
CUST0000943380,0.9977549982755172,625.28,1370.44,21
CUST0000826312,0.9977259620639851,780.6800000000001,2412.44,27
CUST0000881264,0.9976975977485198,452.05,148.29,28
CUST0000082892,0.9976746902093608,509.85,652.65,12
CUST0000169375,0.997658964987563,440.44,297.13,10
CUST0000092639,0.9976314142294067,673.77,1586.64,30
CUST0000618359,0.9975746173936345,454.77,219.17000000000002,27
CUST0000543476,0.9975638129260685,672.87,1778.03,11
CUST0000712945,0.9975540586236561,452.59,231.34,37
CUST0000490719,0.997541966579126,547.19,862.28,18
CUST0000030776,0.9975158268880977,434.3,92.33,40
CUST0000671398,0.9975153981855273,786.35,2248.79,77
CUST0000915622,0.9975133741979799,594.46,1192.03,30
CUST0000990275,0.9975031961343076,428.14,0.0,40
CUST0000049824,0.9974636177203188,445.76,257.22,17
CUST0000735804,0.997461760609355,469.86,359.5,8
CUST0000539763,0.9974390910521945,404.68,26.25,13
CUST0000199671,0.9973935057379116,406.09000000000003,64.86,8
CUST0000173648,0.9973805240014083,474.99,460.70000000000005,21
CUST0000943202,0.9973711273982915,466.32,418.08,35
CUST0000390615,0.9973556603077226,451.51,350.96000000000004,7
CUST0000638538,0.9973505445170219,458.68,395.08,28
CUST0000180098,0.9973018404208904,652.66,1520.77,35
CUST0000903024,0.9972998005060626,497.24,601.12,19
CUST0000403719,0.9972750235161515,409.72,5.25,28
CUST0000156048,0.9972714732878656,491.74,613.77,8
CUST0000266587,0.9972677518777018,570.7,933.19,59
CUST0000691403,0.997261566098728,439.4,231.64,19
CUST0000786608,0.9972577811963744,428.61,192.4,9
CUST0000349135,0.9972460722880223,455.39,261.09,28
CUST0000472775,0.9972369170120149,497.49,609.48,28
CUST0000859178,0.9971976849354737,542.95,905.8100000000001,38
CUST0000829226,0.9971774305117677,709.82,1730.77,71
CUST0000705955,0.9971695778203785,468.54,397.71000000000004,13
CUST0000622604,0.9971354425229899,465.66999999999996,315.68,26
CUST0000305036,0.9970606587899108,674.06,1908.3,14
CUST0000055072,0.9970467928425545,403.23,14.88,21
CUST0000076359,0.9969669430423982,459.17,476.34,18
CUST0000011203,0.9969589609286886,611.84,1243.27,51
CUST0000111311,0.9969427446538135,472.98,506.16999999999996,8
CUST0000402578,0.9969251588758151,442.81,243.41,39
CUST0000108382,0.9969090847663958,447.34,343.92,7
CUST0000847443,0.9968712283704719,395.85,0.0,16
CUST0000436045,0.9968559212065277,641.76,1765.18,15
CUST0000503525,0.9968478614442675,511.26,798.62,13
CUST0000012477,0.9968456485883335,444.92,318.65999999999997,7
CUST0000706153,0.9968268229444893,428.17,196.72,20
CUST0000833651,0.9968198444741718,442.31,295.24,8
CUST0000667776,0.9968111039536629,443.96,375.89,21
CUST0000119364,0.9967852266373404,400.6,47.64,17
CUST0000402788,0.9967156107929459,389.47,0.0,21
CUST0000966045,0.9967147012737491,503.10999999999996,837.97,23
CUST0000849947,0.9967138376649924,395.87,54.81,14
CUST0000036042,0.9967127128633365,459.40999999999997,476.45,12
CUST0000832276,0.9966877207596188,627.19,1661.84,10
CUST0000923588,0.9966707760360021,532.04,953.28,21
CUST0000204001,0.9966196097185316,519.04,843.1899999999999,28
CUST0000856116,0.9966162043055805,976.8,3698.52,68
CUST0000427353,0.9965619823001529,394.26,32.94,14
CUST0000933240,0.9965502495431542,493.62,789.83,18
CUST0000235448,0.9964979141458018,451.55,572.28,9
CUST0000588798,0.996455795666507,446.13,327.04,46
CUST0000970733,0.9963964344274667,740.22,2482.4,23
CUST0000742062,0.99632633351616,454.05,472.42,12
CUST0000017179,0.9963138735446505,441.6,329.11,33
CUST0000743907,0.9962911910569645,399.9,157.11,10
CUST0000801631,0.9962553315655088,786.73,2743.37,25
CUST0000829249,0.9962155672597578,488.91,717.17,11
CUST0000960508,0.9961971444094135,518.42,853.53,26
CUST0000979702,0.9961461942270606,463.93,544.88,12
CUST0000692919,0.9961417060749586,421.16999999999996,212.72,13
CUST0000601750,0.9961221653795035,477.15999999999997,585.71,37
CUST0000557216,0.9961198547660588,419.35999999999996,238.23000000000002,26
CUST0000651202,0.9961054075175095,501.06,833.88,16
CUST0000667626,0.9960668876865639,450.65,473.78000000000003,15
CUST0000241018,0.9960414880265103,700.75,2246.89,15
CUST0000805975,0.996023359761874,519.36,914.97,36
CUST0000587797,0.9959793489168837,507.24,749.0,50
CUST0000246343,0.9959737210750658,527.81,1076.66,14
CUST0000005488,0.9959389727718815,512.0799999999999,942.43,23
CUST0000942371,0.9959210877717264,567.62,1240.49,32
CUST0000599062,0.9959102612749181,452.99,382.31,41
CUST0000605096,0.9958982317120673,400.2,197.04000000000002,9
CUST0000734106,0.9958910577154355,379.39,37.5,26
CUST0000715392,0.9958865558149543,551.65,1037.59,48
CUST0000194722,0.9958815841861596,393.41999999999996,113.28,9
CUST0000139813,0.9958706452329895,521.18,918.38,30
CUST0000094750,0.9958684916344166,511.78999999999996,871.01,31
CUST0000393785,0.9958530087259356,406.09,152.74,23
CUST0000301026,0.9958427646552972,469.04,698.38,8
CUST0000101815,0.9958321042805652,604.74,1553.35,9
CUST0000829887,0.9958062589085512,623.13,1726.74,13
CUST0000518404,0.9957732116165615,420.75,381.59000000000003,17
CUST0000815446,0.9957680000893818,571.21,1246.51,38
CUST0000698543,0.995751040255775,396.78999999999996,152.93,11
CUST0000080775,0.9957091712786955,448.65999999999997,528.06,15
CUST0000868605,0.9956938619833863,459.58000000000004,544.33,19
CUST0000042644,0.995684103941483,563.38,1215.05,38
CUST0000196882,0.9956780959309235,416.43,292.9,12
CUST0000793741,0.9956776531497625,413.78,275.51,7
CUST0000116420,0.9956462492794417,397.98,94.51,44
CUST0000479210,0.9956239423324553,650.32,1628.13,46
CUST0000761351,0.9956088438937748,370.5,24.86,13
CUST0000802476,0.9955986598478305,407.94,248.21,20
CUST0000365608,0.9955952183467025,828.22,3086.19,40
CUST0000495174,0.995526364564558,382.64,97.88000000000001,15
CUST0000871568,0.99547306333861,647.72,1765.18,40
CUST0000834622,0.9954321864273182,440.95,444.69,28
CUST0000060904,0.9953798019568016,378.37,106.56,15
CUST0000096018,0.995367007126707,394.83,158.88,16
CUST0000056111,0.9953666316604469,368.34000000000003,0.0,18
CUST0000653903,0.9953366120679056,450.61,555.6899999999999,31
CUST0000703291,0.99532329003236,644.4,1904.35,11
CUST0000535967,0.9953185861658667,455.88,590.47,20
CUST0000128778,0.9953166955499768,385.5,82.06,22
CUST0000611814,0.9953099271729317,365.61,39.59,13
CUST0000625424,0.9952822573787671,480.53999999999996,668.99,25
CUST0000084303,0.9952645752841979,367.55,60.00999999999999,10
CUST0000367312,0.995262941710823,407.53,246.4,36
CUST0000797065,0.9952365548665363,553.55,1341.8,8
CUST0000882974,0.9952215683732567,398.5,217.29000000000002,18
CUST0000882926,0.9952209601230302,380.56,81.57,24
CUST0000781067,0.995204039928864,477.02,792.78,12
CUST0000378965,0.9951987662570531,416.67,344.62,13
CUST0000296442,0.995197368987831,633.4,1820.58,16
CUST0000918259,0.9951645685086608,400.89,181.22,24
CUST0000664910,0.9951535054537544,485.09,917.45,8
CUST0000707617,0.9951056220014036,357.89,0.0,10
CUST0000259082,0.9950946368337977,516.92,1056.35,7
CUST0000099234,0.9950895462932231,405.25,264.64,24
CUST0000717827,0.9950757100866418,422.71999999999997,402.75,12
CUST0000303695,0.9950706658359342,483.57000000000005,827.51,10
CUST0000447584,0.9950622018617284,461.24,821.59,9
CUST0000255780,0.9950068907396341,369.42,108.74,18
CUST0000999732,0.9949939017519603,381.59999999999997,163.87,25
CUST0000242034,0.9949915242902206,431.24,499.40999999999997,12
CUST0000169377,0.9949721049895361,416.39,384.89,14
CUST0000374121,0.9949639851857203,438.38,462.90000000000003,26
CUST0000965991,0.9949487393730082,369.71,115.46000000000001,6
CUST0000713247,0.9949027699451453,381.09,0.0,26
CUST0000133333,0.9948567532980932,481.56,807.5600000000001,17
CUST0000911924,0.9948437228517928,478.04999999999995,885.05,13
CUST0000484127,0.9948140950698562,494.0,834.09,24
CUST0000941953,0.9947973936147729,360.29,0.0,10
CUST0000280603,0.9947929841920681,461.79999999999995,687.02,27
CUST0000042572,0.9947779749962768,352.55,20.73,28
CUST0000912955,0.9947527873302262,382.07,133.98,29
CUST0000260992,0.9947487005649585,355.89,0.0,19
CUST0000016531,0.9947314928391812,360.74,55.61,8
CUST0000264356,0.9947256657422555,395.27,358.03000000000003,12
CUST0000598021,0.9946914222201857,365.82,33.66,27
CUST0000843007,0.9946809556852054,420.14,409.77,10
CUST0000141065,0.9946440086653413,492.79,925.09,17
CUST0000405139,0.9946017984242272,359.63,0.0,8
CUST0000155214,0.9945716401498929,373.6,168.72,15
CUST0000903861,0.9945689204522654,343.27,0.0,9
CUST0000686048,0.9945552009230326,355.06,0.0,17
CUST0000598076,0.9945520198989589,354.15,91.2,16
CUST0000770494,0.9945432755624324,451.56,526.16,31
CUST0000087609,0.9945214917041819,489.27,873.83,11
CUST0000936130,0.994515012587224,388.96,248.59,22
CUST0000831598,0.9944914595343198,415.72,430.64,3
CUST0000371395,0.9944698241742544,503.96000000000004,1073.06,19
CUST0000081748,0.9944542263517798,379.42,252.19,9
CUST0000794546,0.9944478605722632,399.73,290.69,27
CUST0000052819,0.9944278129345734,432.38,419.39,45
CUST0000184822,0.9944101959049267,434.89,416.6,52
CUST0000731667,0.9944098811268511,425.24,588.63,12
CUST0000250755,0.9943871918240746,372.07,166.4,17
CUST0000493785,0.9943198764052688,406.57000000000005,271.12,36
CUST0000910953,0.994299003576423,773.1,2813.75,28
CUST0000274626,0.994295788474694,351.48,0.0,16
CUST0000206673,0.9942943233343322,402.74,402.17,10
CUST0000191991,0.9942806606506684,492.27,1054.0,19
CUST0000234489,0.9942645990433198,395.96,226.55,17
CUST0000510774,0.9942583396024809,515.06,957.25,46
CUST0000222864,0.9942412747617503,425.25,532.41,17
CUST0000484650,0.994240463660281,379.09,245.36,20
CUST0000617434,0.9942225898027118,466.96999999999997,798.9300000000001,22
CUST0000405760,0.9942179311273224,401.74,251.59,30
CUST0000516013,0.9941818319749931,393.46999999999997,270.12,18
CUST0000199694,0.9941722497733843,407.47,289.53,16
CUST0000848471,0.9941630259380286,385.42,269.76,13
CUST0000881223,0.9941407411513704,404.84,475.04999999999995,9
CUST0000514261,0.9941334097142324,497.57,850.13,40
CUST0000668186,0.9941225492494481,361.89,101.91,10
CUST0000700652,0.9940276178787701,410.54,415.59,13
CUST0000489993,0.9939555972794921,372.53999999999996,188.01,5
CUST0000014895,0.993942974726737,582.41,1405.63,45
CUST0000801022,0.9939226925110365,384.31,271.86,9
CUST0000789662,0.9939146832372295,750.65,2630.8,37
CUST0000974574,0.9938949087880415,380.82,234.58,13
CUST0000158198,0.9938285078670821,378.61,198.87,10
CUST0000339229,0.9938048352391838,580.0,1688.87,15
CUST0000923879,0.9938012158046985,474.54,892.7,19
CUST0000539520,0.9937492100307677,387.22,358.96,18
CUST0000159918,0.9937464726847319,656.16,2204.76,24
CUST0000773127,0.9937232737040154,430.8,544.66,20
CUST0000574116,0.9936997581833389,531.12,1287.93,15
CUST0000977353,0.9936357259853215,409.09000000000003,449.24,13
CUST0000701196,0.9936229122459054,445.63,690.58,8
CUST0000850971,0.9936224567752218,376.52,288.55,18
CUST0000952025,0.9936064788242539,355.58,81.66,13
CUST0000187309,0.9935745784637813,408.03,535.66,3
CUST0000092176,0.9935624254649579,627.8,1756.66,34
CUST0000232295,0.9935606038227905,443.32,673.36,17
CUST0000814972,0.9935523845830732,451.67,776.41,25
CUST0000502398,0.9935324403955612,376.69,243.99,31
CUST0000911950,0.9935310400382482,401.0,416.71999999999997,12
CUST0000741393,0.9935258179596136,415.33,525.18,10
CUST0000229598,0.9934924845434373,404.96,501.78,15
CUST0000695090,0.9934880432030286,565.63,1449.37,27
CUST0000751661,0.9934817215527881,378.62,223.82,19
CUST0000290021,0.9934774438365785,386.39,269.32,9
CUST0000264201,0.9934584317852058,541.79,1440.24,15
CUST0000018065,0.9934400427157757,357.66,195.37,9
CUST0000451638,0.9934124113509861,697.4,2420.66,23
CUST0000377735,0.9933501524657871,340.23,0.0,7
CUST0000089242,0.9932852892616452,782.48,3166.79,12
CUST0000407518,0.9932142292102387,339.81,0.0,21
CUST0000733266,0.9931994321402053,652.6899999999999,2028.02,38
CUST0000586638,0.9931794003404438,336.92,0.0,21
CUST0000635431,0.9931604377414252,380.31,317.2,10
CUST0000341653,0.9931410742398311,392.3,394.77,16
CUST0000621123,0.9931262407898751,525.5699999999999,1280.55,15
CUST0000435093,0.9931195930030449,512.89,980.51,44
CUST0000436052,0.9931023225496439,369.74,179.86,18
CUST0000446286,0.9930638996003684,387.57,346.29,17
CUST0000691972,0.9930254232243304,345.55,0.0,9
CUST0000720230,0.9930166490832603,390.53,402.25,11
CUST0000923804,0.9930129474886128,469.85,601.29,59
CUST0000060124,0.9930039293149634,363.5,95.24000000000001,44
CUST0000094509,0.9930008064760124,486.36,1068.55,18
CUST0000432592,0.9929962338170286,427.75,615.5699999999999,19
CUST0000892188,0.9929899986116415,406.35,474.35,12
CUST0000939464,0.9929845748237822,418.99,639.61,9
CUST0000980453,0.9929569275748548,371.43,211.4,22
CUST0000564331,0.992934233773653,555.86,1588.35,10
CUST0000053978,0.9929229059575996,324.82,0.0,9
CUST0000482910,0.9929003021353211,399.75,430.8,19
CUST0000077722,0.9928885898508221,390.62,394.33000000000004,14
CUST0000582811,0.9928615242036574,482.12,1043.94,17
CUST0000394033,0.9927975468882212,419.27,533.42,8
CUST0000956883,0.9927935910727956,328.93,52.36,9
CUST0000584510,0.9927706671782683,342.69,91.49,17
CUST0000587636,0.9926693225592268,347.15999999999997,173.37,14
CUST0000304639,0.9926247136758433,323.45,1.46,7
CUST0000725633,0.9926151787099367,341.18,91.33,20
CUST0000305829,0.9926116075455791,378.05,249.46,30
CUST0000678802,0.9925966821299194,348.03999999999996,94.63999999999999,14
CUST0000632316,0.9925763215898447,552.4,1545.29,11
CUST0000601470,0.9925574627796055,420.11,636.9200000000001,23
CUST0000377575,0.9925091875615394,342.85,90.53999999999999,16
CUST0000270265,0.9925002562892481,510.59999999999997,1154.86,39
CUST0000871709,0.9924965592635512,379.48,149.11,55
CUST0000533672,0.9924930783595938,732.53,2730.83,21
CUST0000787592,0.9924891979139371,416.56,531.83,15
CUST0000130799,0.9924788871405076,413.02,504.86,33
CUST0000321825,0.9924298809527287,350.9,97.05,17
CUST0000191848,0.9924280044558123,357.14,261.67,10
CUST0000739164,0.9923768067903879,321.69,39.230000000000004,7
CUST0000005367,0.9923586569294368,349.45,218.97,10
CUST0000638855,0.9923318958294941,464.90999999999997,916.85,8
CUST0000388609,0.9922819655300098,482.12,1050.84,7
CUST0000084839,0.9922457336151846,350.81,68.92,35
CUST0000576923,0.9922404105838118,331.59,114.16,8
CUST0000472799,0.992224480773135,372.34,322.75,15
CUST0000687813,0.9921830747075888,347.66,180.4,19
CUST0000660440,0.9921562745302152,372.25,54.760000000000005,56
CUST0000131791,0.9921552677618655,324.5,0.0,19
CUST0000375897,0.9921426391332372,365.7,183.24,36
CUST0000008774,0.9921350323064339,402.13,491.08,18
CUST0000759749,0.992132936876675,450.86,886.89,13
CUST0000266964,0.9921113352301768,465.52,910.5799999999999,10
CUST0000944002,0.9921063111348248,342.27,133.9,9
CUST0000870384,0.9920913156279914,337.83000000000004,61.07,14
CUST0000442861,0.9920672284703388,378.87,385.64,14
CUST0000353521,0.9920031528942884,328.74,41.160000000000004,10
CUST0000083987,0.9919854719706863,507.83,1299.84,10
CUST0000652520,0.9919557400601465,328.51,0.0,14
CUST0000022480,0.9919455250949958,367.58,219.58999999999997,31
CUST0000116548,0.9919398615244269,352.17,190.14000000000001,37
CUST0000149829,0.9919019959125734,487.8,1112.04,17
CUST0000976387,0.9918930433762428,324.46,0.0,11
CUST0000287836,0.9918871296925786,369.74,263.21,7
CUST0000906976,0.9918803149851786,357.15,176.77,21
CUST0000133144,0.9918661679801538,321.13,0.0,4
CUST0000565561,0.9918379275517357,419.68,639.34,36
CUST0000215137,0.9918353504495138,429.55,578.52,50
CUST0000100767,0.9918151273092608,386.65000000000003,185.05,41
CUST0000865092,0.9918105342527066,336.14,88.94999999999999,24
CUST0000681331,0.9918083119561748,386.61,308.5,35
CUST0000146632,0.9918043447454461,408.89,581.53,9
CUST0000811999,0.9917932322603564,315.47,0.0,9
CUST0000916929,0.9917894499298754,499.65,982.11,50
CUST0000548425,0.9917806185013847,341.48,46.629999999999995,41
CUST0000672190,0.9917591791424788,540.26,1355.27,22
CUST0000441017,0.9917464250685484,329.95,0.0,16
CUST0000261090,0.9916783309572289,447.81,891.47,9
CUST0000343351,0.9916591231860207,487.98,1141.72,10
CUST0000637472,0.9916589144097872,327.21,0.0,13
CUST0000750577,0.9916237461367006,413.84999999999997,541.24,37
CUST0000529572,0.991606278833561,472.5,881.27,27
CUST0000358837,0.9916032095313135,399.91,523.63,11
CUST0000692397,0.9915885310193975,377.59,379.76,7
CUST0000146208,0.9915818957930373,497.93,1176.5,20
CUST0000629926,0.9915519126088622,476.03999999999996,841.48,54
CUST0000681738,0.9915394381152624,383.32,399.13,9
CUST0000481255,0.9914980287447441,458.67,732.88,32
CUST0000576927,0.9914958720000931,398.65,567.64,12
CUST0000880238,0.991483527357553,359.09999999999997,311.96999999999997,9
CUST0000091413,0.9914623775032021,378.46000000000004,451.07,14
CUST0000777900,0.9914598785425623,364.49,193.5,15
CUST0000993974,0.9914217322865595,352.57,213.02999999999997,5
CUST0000962507,0.991393346331253,360.54,238.35,18
CUST0000100421,0.9913251937811083,360.5,222.44,7
CUST0000206415,0.9913207653562309,327.16999999999996,170.85,6
CUST0000499879,0.9913131857584578,571.5699999999999,1762.6399999999999,14
CUST0000229595,0.9912968816497795,437.46999999999997,809.22,11
CUST0000514694,0.991286380515167,481.01,1095.54,26
CUST0000875073,0.9912635526127521,372.53,337.63,15
