CUST_CODE,Churn_Risk_Probability,Holiday_Monetary,Pre_Monetary,Holiday_Frequency,Holiday_Uplift_Ratio
CUST0000955587,0.9727453,242.19,178.2,4,8.154545454545454
CUST0000423085,0.96583307,167.86999999999998,270.06,2,3.729615640968673
CUST0000508654,0.96561295,250.77,270.06,4,5.571428571428572
CUST0000973582,0.9651587,593.1,358.27,13,9.932732296871075
CUST0000027849,0.96315944,288.92,276.94,3,6.25955080522857
CUST0000888182,0.96311307,236.39,148.32999999999998,4,9.562057574327513
CUST0000299333,0.961998,264.85,230.85,4,6.883690708252112
CUST0000461062,0.9618849,502.01,568.67,11,5.296674697100252
CUST0000300785,0.9618551,203.76,453.33,4,2.696843359142347
CUST0000101966,0.9617791,330.42,189.56,5,10.458535556024477
CUST0000198200,0.9613978,278.96,482.41,4,3.469579817997139
CUST0000513068,0.9613973,243.46,88.94,10,16.424106138970092
CUST0000664910,0.9612931,485.09,917.45,8,3.172423565316911
CUST0000436045,0.961067,641.76,1765.18,15,2.181397931089181
CUST0000992063,0.96104586,332.28000000000003,546.58,11,3.647553880493249
CUST0000281710,0.9606758,207.95999999999998,139.52,8,8.943233944954127
CUST0000958474,0.96039915,356.99,360.17,14,5.947025015964683
CUST0000569019,0.9603394,288.33000000000004,502.67,3,3.4415819523743214
CUST0000903655,0.9602126,494.13,577.03,9,5.137999757378299
CUST0000206415,0.95986974,327.17,170.85,6,11.48972783143108
CUST0000191991,0.9596133,492.27,1054.0,19,2.8022960151802656
CUST0000800768,0.959433,651.0699999999999,328.56,25,11.889517896274652
CUST0000857527,0.95896584,463.69,260.3,9,10.68820591625048
CUST0000302732,0.9585208,325.90999999999997,220.31,5,8.875947528482591
CUST0000222864,0.9584489,425.25,532.41,17,4.792359271989632
CUST0000186414,0.95814425,140.01,217.88,2,3.8556085918854412
CUST0000406476,0.9577336,288.64,404.8,9,4.278260869565217
CUST0000512097,0.9576772,247.31,188.85,9,7.85734710087371
CUST0000657691,0.95752454,342.78999999999996,523.5699999999999,9,3.9282999407911072
CUST0000993974,0.9574291,352.57,213.02999999999997,5,9.930150683002395
CUST0000642214,0.9572775,227.06,253.09,16,5.382907266189894
CUST0000213703,0.95644563,311.2,338.95,9,5.5087771057678125
CUST0000339229,0.956148,580.0,1688.8700000000001,15,2.0605493614073316
CUST0000449747,0.9559557,464.5,134.65,16,20.0
CUST0000314887,0.95590633,240.2,477.01,10,3.0213203077503614
CUST0000988987,0.95588523,581.14,373.29,6,9.340834203970102
CUST0000056450,0.95574236,286.26,346.13,6,4.9621818391933665
CUST0000775101,0.95544773,327.26,492.58,4,3.9862763408989403
CUST0000251381,0.95540243,175.23000000000002,226.06,3,4.6508891444749185
CUST0000829535,0.95533353,377.06,818.8,10,2.763019052271617
CUST0000029222,0.9552332,259.98,426.76,4,3.655169181741494
CUST0000270889,0.9550922,296.86,342.16999999999996,10,5.205482654820703
CUST0000489993,0.954924,372.53999999999996,188.01,5,11.888942077549066
CUST0000532729,0.9547393,626.61,274.24,27,13.709378646441072
CUST0000005367,0.9546887,349.45000000000005,218.97,10,9.575284285518567
CUST0000821240,0.95465314,431.89,83.60999999999999,17,20.0
CUST0000413454,0.9545409,193.14,370.73,3,3.125832816335338
CUST0000173648,0.95450187,474.99,460.70000000000005,21,6.18610809637508
CUST0000409468,0.9543576,265.66,97.73,9,16.30983321395682
CUST0000533524,0.9543543,98.46000000000001,359.03,24,1.6454335292315407
CUST0000635649,0.9539923,310.6,260.17,8,7.1630088019371945
CUST0000969770,0.9536949,259.82,505.58,25,3.0834289331065308
CUST0000962507,0.95368636,360.54,238.35,18,9.075896790434236
CUST0000569545,0.95367104,251.14,298.81,10,5.042803119038854
CUST0000259806,0.95359004,354.72,460.67,11,4.620053400481907
CUST0000365845,0.9535645,499.04,1289.46,11,2.3220883160392725
CUST0000143327,0.95343983,278.94,131.16,13,12.760292772186643
CUST0000081748,0.9534263,379.41999999999996,252.19,9,9.027003449779928
CUST0000810382,0.9533767,226.87,305.34,16,4.4580467675378275
CUST0000796847,0.9532833,279.15,412.21,14,4.063220203294437
CUST0000154483,0.95326686,258.03,655.02,7,2.36356141797197
CUST0000731667,0.9531747,425.24,588.63,12,4.33453952397941
CUST0000616111,0.9531556,481.85,1239.47,14,2.3325292262015216
CUST0000067884,0.9530228,353.01,398.69,3,5.312548596654041
CUST0000184283,0.95287555,466.91,127.32,13,20.0
CUST0000605083,0.9528596,210.29,624.13,3,2.0215980645057923
CUST0000018065,0.9526157,357.66,195.37,9,10.984081486410401
CUST0000966045,0.9525249,503.10999999999996,837.97,23,3.6023485327637026
CUST0000574116,0.9524793,531.12,1287.93,15,2.47429596328993
CUST0000720230,0.9524776,390.53,402.25,11,5.825183343691733
CUST0000725365,0.9524635,477.48,252.46,12,11.347857086271093
CUST0000391174,0.9524258,225.75,92.18,11,14.694076806248642
